bulk modulus samples [N/mm^2],shear modulus samples [N/mm^2]
123639.657670154,73074.5884004329
118364.34134719,75392.7275690684
134783.975282852,76615.9641611263
150901.800350377,71364.8019137833
129325.982283875,72806.4292937558
119291.058630599,70914.7739435654
137180.164816459,73202.9809478355
129083.421017307,72271.5289027916
119246.690343042,72950.4988328376
144361.373406001,76070.1699273462
128699.179535236,76146.3562261901
119872.109566869,74095.924227825
122148.064309753,75516.0292357598
116594.485401859,71707.169183732
125752.09329956,74438.4256728825
158780.058944502,74395.8374754868
132813.568628017,73380.7245017244
130568.723746132,72079.8457130372
129643.486679325,73219.4116682173
124773.532527701,71457.8632818796
122844.107994424,72534.206657522
148765.00772444,73635.1849282754
121463.929964836,71291.1999365547
111623.308687567,70815.6912723364
129240.197240648,73053.3332577646
138692.960022943,72679.4166248051
135507.565068309,73826.3688632792
127414.298539388,75319.1433900145
153155.377073926,75102.6687991214
135322.690033062,75047.9628437379
118382.425046327,73072.0226563813
118670.456160562,74116.7064159538
145590.310691828,75167.142213492
110898.392542588,74257.499598459
116781.459439163,73187.2290080175
141756.520064427,71727.677228185
141219.316220107,74115.1834192173
127665.026081788,75170.3922911878
139436.464467805,72118.6560749866
125379.471816727,73572.82659464
121487.561436946,72799.0807149088
131975.041902526,70200.3708185332
123393.577056508,73606.3589848397
131307.474799205,72713.9695154968
130147.416493239,74316.1038470034
142417.615877839,71968.5183796651
126904.779703653,75641.9055550393
132265.182085462,75089.0109683856
139384.794725326,74392.351282041
147776.727111333,77028.3466532341
127441.109049246,74976.2550903926
124709.802721573,76269.9263749212
113179.776669434,72532.3972133705
145899.707804968,73532.3371732915
117766.491270585,72893.2121457303
134803.500110137,73110.7423906421
137205.798743207,76415.1564638579
143786.351966835,73753.4303621895
124018.981849141,73880.7871792241
137965.651954787,72469.3110766889
164390.065131854,75365.2546700428
126302.059136821,72538.255862056
127538.581436361,72681.9635444682
134746.744838079,72859.3413185317
146201.8349839,73923.7456039632
159173.688987883,75407.3655244552
109557.389586673,70734.839208262
143388.820001027,73371.9434926812
146245.10235234,74310.4660403919
134069.9814536,72567.6985998466
155194.874115547,78174.3620367544
138737.25346487,71911.7968798649
133506.48080475,75659.0927807881
129661.943453804,75551.376735916
140436.982133103,76016.1173661557
133875.61715281,74534.3037869695
134304.117586525,73963.9292627443
